puma_geoid,tract_geoid
79500US0607318,14000US06073002703
79500US0607318,14000US06073003112
79500US0607318,14000US06073003109
79500US0607318,14000US06073003113
79500US0607318,14000US06073003111
79500US0607318,14000US06073003304
79500US0607318,14000US06073004200
79500US0607318,14000US06073002502
79500US0607318,14000US06073002712
79500US0607318,14000US06073003305
79500US0607320,14000US06073013312
79500US0607320,14000US06073013308
79500US0607320,14000US06073013309
79500US0607320,14000US06073013311
79500US0607320,14000US06073013409
79500US0607320,14000US06073013401
79500US0607320,14000US06073003212
79500US0607320,14000US06073003214
79500US0607320,14000US06073010014
79500US0607320,14000US06073013421
79500US0607320,14000US06073013419
79500US0607320,14000US06073013418
79500US0607320,14000US06073013416
79500US0607320,14000US06073013415
79500US0607320,14000US06073013417
79500US0607320,14000US06073013414
79500US0607320,14000US06073012200
79500US0607320,14000US06073013506
79500US0607320,14000US06073021302
79500US0607320,14000US06073003207
79500US0607320,14000US06073013903
79500US0607320,14000US06073003204
79500US0607320,14000US06073021303
79500US0607320,14000US06073003202
79500US0607320,14000US06073013410
79500US0607320,14000US06073013412
79500US0607320,14000US06073021304
79500US0607320,14000US06073010001
79500US0607320,14000US06073012304
79500US0607320,14000US06073013302
79500US0607320,14000US06073013306
79500US0607320,14000US06073013301
79500US0607320,14000US06073013303
79500US0607320,14000US06073013411
79500US0607320,14000US06073013420
79500US0607320,14000US06073013314
79500US0607320,14000US06073013310
79500US0607320,14000US06073013313
79500US0607320,14000US06073012303
79500US0607322,14000US06073013308
79500US0607322,14000US06073010014
79500US0607322,14000US06073990100
79500US0607322,14000US06073010015
79500US0607322,14000US06073021900
79500US0607322,14000US06073010103
79500US0607322,14000US06073021302
79500US0607322,14000US06073010012
79500US0607322,14000US06073010005
79500US0607322,14000US06073010011
79500US0607322,14000US06073010003
79500US0607322,14000US06073010001
79500US0607322,14000US06073010004
79500US0607322,14000US06073010009
79500US0607322,14000US06073010010
79500US0607322,14000US06073010013
79500US0607322,14000US06073010106
79500US0607322,14000US06073010107
79500US0607322,14000US06073010200
79500US0607322,14000US06073010111
79500US0607322,14000US06073010112
79500US0607322,14000US06073010401
79500US0607322,14000US06073010300
79500US0607322,14000US06073010110
79500US0607322,14000US06073010402
79500US0607322,14000US06073010501
79500US0607322,14000US06073010502
79500US0607322,14000US06073010601
